,Channel,Compound,Date,Negative,Neutral,Positive,Text,Tweet Ago
320,@FoxNews,0.6249,Tue Mar 13 00:30:36 +0000 2018,0.0,0.785,0.215,".@MarkSteynOnline: ""We're great at investigating stuff that happened two, three years ago. Meanwhile, Putin's getti… https://t.co/0lYfyOIL31",21
321,@FoxNews,0.5574,Tue Mar 13 00:21:35 +0000 2018,0.0,0.841,0.159,".@ConawayTX11 on hacking of DNC servers and Podesta email: ""I believe we're as positive as you can be...I'm comfort… https://t.co/HNsM7xBeVS",22
322,@FoxNews,0.0,Tue Mar 13 00:10:49 +0000 2018,0.0,1.0,0.0,".@ConawayTX11: ""We've seen some, perhaps, meetings that were inappropriate or ill-advised to have taken. We've seen… https://t.co/Bcxapgb5fp",23
323,@FoxNews,0.5106,Tue Mar 13 00:06:19 +0000 2018,0.133,0.552,0.315,"JUST IN: @TheJusticeDept announces actions to improve school safety, enforce gun laws  https://t.co/ZDOA4B1fcn",24
324,@FoxNews,0.0,Mon Mar 12 23:55:20 +0000 2018,0.0,1.0,0.0,.@GovMikeHuckabee: “Social media has given people a sense of anonymity. They don’t have connections with human bein… https://t.co/70OFYM1aWE,25
325,@FoxNews,0.0,Mon Mar 12 23:55:00 +0000 2018,0.0,1.0,0.0,TUNE IN: @VP Mike Pence sits down for an interview with @SeanHannity TONIGHT at 9p ET on Fox News Channel. https://t.co/HnBl0AZVaX,26
326,@FoxNews,0.0,Mon Mar 12 23:46:18 +0000 2018,0.0,1.0,0.0,.@CLewandowski_: “The only campaign that I know of that took money out of the campaign coffers and paid a former sp… https://t.co/LBb9TSmTpr,27
327,@FoxNews,0.0,Mon Mar 12 23:41:47 +0000 2018,0.0,1.0,0.0,.@CLewandowski_: “I could’ve had my testimony done in five minutes because it was very simple. I didn’t coordinate… https://t.co/rwN6dt1pVz,28
328,@FoxNews,0.5859,Mon Mar 12 23:33:04 +0000 2018,0.0,0.833,0.167,.@PhilippeReines on #Trump re-election: “It seems to be harder to win the office than to keep the office.” #TheStory https://t.co/Z17LtrcOgA,29
329,@FoxNews,-0.2263,Mon Mar 12 23:19:25 +0000 2018,0.147,0.853,0.0,RT @FoxBusiness: #BreakingNews: Trump blocks Broadcom’s $117B bid for Qualcomm https://t.co/Y2RNGnpHX9 https://t.co/cYqnMVlpoT,30
